cLogP,cLogS,Smiles
1.7952,-3.28,CCOc(cc1)cc2c1nc(NC(CSc1c[nH]nn1)=O)s2
1.8028,-3.306,Cc1cccc2c1nc(NC(CSc1c[nH]nn1)=O)s2
1.1925,-2.749,COc(ccc(Cl)c1)c1NC(CSc1c[nH]nn1)=O
0.8581,-2.623,O=C(CSc1c[nH]nn1)Nc(cc1)cc(F)c1F
1.3633,-3.045,O=C(CSc1c[nH]nn1)Nc(cc1)cc(Cl)c1F
1.8685,-3.467,O=C(CSc1c[nH]nn1)Nc(cc1)cc(Cl)c1Cl
1.8685,-3.467,O=C(CSc1c[nH]nn1)Nc(ccc(Cl)c1)c1Cl
0.7679,-2.706,O=C(CSc1c[nH]nn1)Nc(cc1)cc2c1OCO2
0.4773,-2.522,O=C(CSc1c[nH]nn1)NCc(cc1)cc2c1OCO2
0.6353,-2.177,O=C(CSc1c[nH]nn1)Nc(cc1)cc2c1OCCO2
0.5165,-2.031,COc(ccc(NC(CSc1c[nH]nn1)=O)c1)c1OC
0.5165,-2.031,COc(cc1)cc(OC)c1NC(CSc1c[nH]nn1)=O
0.3602,-2.337,CC(Nc(cc1)ccc1NC(CSc1c[nH]nn1)=O)=O
0.3602,-2.337,CC(Nc1cccc(NC(CSc2c[nH]nn2)=O)c1)=O
0.5277,-2.679,CC(c(cc1)ccc1NC(CSc1c[nH]nn1)=O)=O
0.5277,-2.679,CC(c1cccc(NC(CSc2c[nH]nn2)=O)c1)=O
0.1416,-2.008,OC(c1cccc(NC(CSc2c[nH]nn2)=O)c1)=O
0.1416,-2.008,OC(c(cccc1)c1NC(CSc1c[nH]nn1)=O)=O
0.2959,-1.829,COc1ccc(CNC(CSc2c[nH]nn2)=O)cc1
0.6565,-1.995,O=C(CSc1c[nH]nn1)Nc1ccccc1
1.8028,-3.306,Cc(cc1)cc2c1nc(NC(CSc1c[nH]nn1)=O)s2
2.1596,-4.916,NC(CSc1nnc(NC(CSc2nc(cccc3)c3s2)=O)s1)=O
3.3884,-4.378,Cc1nonc1NC(CSc1nc(cc(cc2)Cl)c2s1)=O
4.2189,-5.991,OC(c(cc1)cc(NC(CSc2nc(cc(cc3)Cl)c3s2)=O)c1Cl)=O
3.7863,-5.062,Cc(cc1)cc2c1[nH]c(SCC(Nc1nnc(SCC=C)s1)=O)n2
2.9124,-2.833,CC(C)[C@@H](N(CC1)C(CSc2nnc(C)s2)=O)N1S(c1ccc(C)cc1)(=O)=O
3.085,-3.564,CSc1nsc(SCC(Nc(cc2)cc(Cl)c2C(O)=O)=O)n1
2.0204,-2.918,O=C([C@H](c1ccccc1)Sc1cnn[nH]1)NC1CCCC1
0.7542,-3.048,NC(CSc1nnc(NC(CSc2ncccc2)=O)s1)=O
3.1956,-4.133,Cc([nH]1)c(-c2ccccc2)nc1SCC(Nc1nccs1)=O
3.5433,-4.95,O=C(CSc1nc(cc(cc2)Cl)c2[nH]1)Nc(cc1)ncc1Br
2.1108,-3.509,O=C(CSc1c[nH]nn1)Nc(cc(C(F)(F)F)cc1)c1Cl
3.1225,-2.381,CC(C)[C@@H](N(CC1)C(CSc2ncccc2)=O)N1S(c1ccc(C)cc1)(=O)=O
1.7051,-4.02,N#Cc1c(NC(CSc2c[nH]nn2)=O)sc2c1CCCC2
2.3315,-4.539,CCOc(cc1)cc2c1nc(SCC(NCc(cc1)ccc1S(N)(=O)=O)=O)s2
2.6581,-5.028,O=C(CSc1c[nH]nn1)Nc(cc1)ccc1Oc(cc1)ccc1Cl
1.8127,-4.712,CCCC(N=C(N1)SCC(Nc(cccc2)c2C#N)=O)=CC1=O
1.5054,-4.415,CC(N=C(N1)SCC(Nc(cc2)ccc2I)=O)=CC1=O
0.8891,-3.926,CC(N=C(N1)SCC(NCc(cc2)cc3c2OCO3)=O)=CC1=O
1.9067,-3.854,NS(c1ccc(CNC(CSc2nc3ccccc3cc2)=O)cc1)(=O)=O
3.6328,-5.039,O=C(CSc1nc(cc(cc2)Cl)c2s1)NC1CCCC1
2.4574,-4.798,Cc(cc1)cc(C)c1NC(CSc1nc(cc(cc2)[N+]([O-])=O)c2[nH]1)=O
3.6856,-4.592,O=C(CCSc1nc(cccc2)c2s1)NCc1ccccc1
3.999,-5.926,CC(c1cccc(NC(CSc2nc(cc(cc3)Cl)c3s2)=O)c1)=O
3.2135,-4.718,CCN(CC)c(cc1)c(C)cc1NC(CSc1nnnn1-c1ccccc1)=O
4.5747,-5.486,CCN(CC)c(cc1)c(C)cc1NC(CSc1nc(cccc2)c2s1)=O
2.7332,-4.505,CCN(CC)c(cc1)c(C)cc1NC(CSc1nnc(N)s1)=O
5.5637,-5.265,Cc(cc1)cc2c1[nH]c(SCC(Nc(cc1)ccc1OC(F)(F)Cl)=O)n2
5.1498,-4.939,COc(cc1)cc2c1[nH]c(SCC(Nc(cc1)ccc1OC(F)(F)Cl)=O)n2
4.4746,-3.909,O=C(CSc1ncccc1)Nc(cc1)ccc1OC(F)(F)Cl
2.9365,-5.284,CCOc(cc1)cc2c1nc(SCC(Nc(cccc1)c1[N+]([O-])=O)=O)s2
4.0578,-5.26,COc1cccc(NC(CSc2nc(cc(cc3)Cl)c3s2)=O)c1
3.2996,-4.171,CCOC(CSc1nc(cc(cc2)Cl)c2s1)=O
2.9454,-4.913,CCOc(cc1)cc2c1nc(SCC(Nc(cc1)ccc1C(N)=O)=O)s2
2.9341,-4.509,O=C(CSc1nc(cc(cc2)Cl)c2s1)Nc1ncccn1
0.9227,-1.905,O=C(CSc1ncccc1)Nc1ncccn1
3.9748,-5.309,O=C(CSc1nc(cc(cc2)Cl)c2s1)NC1CCCCC1
2.7189,-4.42,O=C(CSc1nc(cc(cc2)Cl)c2s1)NC[C@H]1OCCC1
3.9062,-4.794,COc(cc1)ccc1NC(CCSc1nc(cccc2)c2s1)=O
2.2907,-3.378,Cc1nnc(SCCC(Nc(cc2)ccc2OC)=O)s1
3.2596,-4.761,O=C(CSc1nnnn1-c1ccccc1)Nc(cc1)ccc1OC(F)(F)F
2.9092,-4.336,CC(Nc1cccc(NC(CSc2nc(cc(C)cc3)c3[nH]2)=O)c1)=O
2.6972,-4.423,N#Cc(cc1)ccc1NC(CSc1nc(cccc2)c2[nH]1)=O
2.8308,-3.727,Cc(cc1)cc2c1[nH]c(SCC(Nc1nccs1)=O)n2
3.3142,-3.389,C(CSc1nc(cccc2)c2o1)N1CCCCC1
2.2751,-3.915,O=C(CSc1ncccc1)Nc1cccc(NC(CSc2ncccc2)=O)n1
1.3727,-2.495,Cc(cc1)cc([nH]2)c1nc2SCC(O)=O
2.0294,-2.779,COC(c(cccc1)c1NC(CSc1ncccc1)=O)=O
3.733,-5.518,Cc1nnc(SCC(c(cc2)ccc2-c2ccccc2)=O)s1
2.6489,-3.466,CC(n1c(SCC(Nc2nccs2)=O)nc2c1cccc2)=O
3.7881,-4.842,CCOc(cc1)cc2c1nc(SCC(Nc(cc1)ccc1OC)=O)s2
3.3717,-4.188,Cn1c(SCC(Nc2ccc(/C=C/c3ccccc3)cc2)=O)nnc1
2.9591,-4.01,COc(cc1)ccc1C(CSc1nc(cccc2)c2[nH]1)=O
2.4169,-3.401,COc(cc1)cc2c1[nH]c(SCC(Nc1nccs1)=O)n2
2.3941,-3.378,CCc1nnc(NC(CSc2nc(cc(cc3)OC)c3[nH]2)=O)s1
1.7083,-3.849,O=C(CSc1ncccc1)Nc(cc1)ccc1S(/N=C1/SC=CN1)(=O)=O
2.0801,-3.551,O=C(CSc1nc(cccc2)c2o1)Nc1ncccn1
2.3281,-3.773,O=C(CSc1nc(cccc2)c2s1)Nc1ncccn1
2.0118,-3.261,Cc(cc1)cc2c1[nH]c(SCC(Nc1ncccn1)=O)n2
2.3061,-4.402,OC(c1cc(NC(CSc2cccc3cccnc23)=O)cc(C(O)=O)c1)=O
1.927,-3.554,O=C(CSc1cccc2cccnc12)NC[C@H]1OCCC1
3.6722,-4.694,CCOc(cc1)ccc1NC(CSc1cccc2cccnc12)=O
3.2858,-4.904,Cc1nnc(SCC(c(ccc(Cl)c2)c2Cl)=O)s1
2.1422,-3.643,O=C(CSc1cccc2cccnc12)Nc1ncccn1
3.0236,-3.733,CC(n1c(SCC(Nc2ccccc2)=O)nc2c1cccc2)=O
2.6644,-4.091,CCOc(cc1)cc2c1nc(SCC(Nc1ncccn1)=O)s2
1.9338,-3.468,Cc1nnc(SCC(c(cc2)cc(OC)c2OC)=O)s1
3.1471,-4.239,O=C(CSc1nc(cccc2)c2s1)Nc1nccs1
2.9132,-4.118,COc1ccc(CNC(CSc2nc(cccc3)c3o2)=O)cc1
3.3901,-4.511,C[C@@H](CCCC1)[C@H]1NC(CSc1nc(cccc2)c2o1)=O
1.6015,-2.651,OC(c(cc1)ccc1NC(CSc1ncccc1)=O)=O
2.8488,-3.623,COc(cc1)cc2c1nc(NC(CSc1ncccc1)=O)s2
2.431,-3.502,COc1ccc(CNC(CSc2nc(ccc(OC)c3)c3[nH]2)=O)cc1
3.4794,-4.356,Cc1cccc(C)c1NC(CSc1nc(cc(cc2)OC)c2[nH]1)=O
2.7589,-4.297,OC(c1cccc(NC(CSc2nc(cccc3)c3o2)=O)c1)=O
4.4047,-5.368,Cc(cc1)cc2c1[nH]c(SCC(c1c(C)cc(C)c(C)c1)=O)n2
1.5403,-3.561,COc(cc1)cc(NC(CSc2nnc(N)s2)=O)c1OC
3.3818,-4.542,COc(cc1)cc(NC(CSc2nc(cccc3)c3s2)=O)c1OC
4.202,-5.168,CCOc(cc1)cc2c1nc(SCC(Nc1cc(C)ccc1)=O)s2
1.9764,-2.674,COc(cc1)cc(OC)c1NC(CSc1ncccc1)=O
2.5087,-3.746,CC(n1c(SCC(Nc(cc2)ccc2C(O)=O)=O)nc2c1cccc2)=O
3.1338,-4.32,COc(cc1)cc(NC(CSc2nc(cccc3)c3o2)=O)c1OC
2.6221,-4.723,CCOc(cc1)cc2c1nc(SCC(Nc(cc1)ccc1S(N)(=O)=O)=O)s2
1.6015,-2.651,OC(c1cccc(NC(CSc2ncccc2)=O)c1)=O
3.3432,-4.837,CCOc(cc1)cc2c1nc(SCC(Nc1cc(C(O)=O)ccc1)=O)s2
3.3432,-4.837,CCOc(cc1)cc2c1nc(SCC(Nc(cc1)ccc1C(O)=O)=O)s2
3.6478,-5.235,CCSc1nnc(NC(CSc2cccc3cccnc23)=O)s1
2.8449,-3.828,Cc(cc1)cc([nH]2)c1nc2SCC(NCc(cc1)ccc1OC)=O
4.473,-5.658,Cc(c(C)c1)cc(C)c1C(CSc1nc(cccc2)c2o1)=O
3.1035,-4.527,CCSc1nnc(NC(CSc2nc(cc(cc3)OC)c3[nH]2)=O)s1
2.6516,-3.704,COc(cc1)cc2c1[nH]c(SCC(Nc(cc1)cc(OC)c1OC)=O)n2
1.7663,-3.126,Cc1nnc(SCC(Nc(cc2)cc(OC)c2OC)=O)s1
3.2239,-5.624,[O-][N+](c(cc1)cc2c1[nH]c(SCC(Nc(cc(C(F)(F)F)cc1)c1Cl)=O)n2)=O
1.9671,-3.019,Cn1c(SCC(Nc2nc(cccc3)c3s2)=O)nnc1
3.9616,-4.972,Cc1cc(NC(CSc2nc(cccc3)c3o2)=O)c(C)cc1
3.6129,-5.255,OC(c(cc(cc1)NC(CSc2nc(cccc3)c3s2)=O)c1Cl)=O
4.6533,-6.098,O=C(CSc1nc(cccc2)c2o1)c(ccc(Cl)c1)c1Cl
4.1711,-5.482,COc(cc1)cc2c1[nH]c(SCC(c(ccc(Cl)c1)c1Cl)=O)n2
3.0299,-3.753,CCOC(CSc1nc(ccc(OCC)c2)c2s1)=O
2.7146,-4.829,Cc(cc1)cc([nH]2)c1nc2SCc(cc1)ccc1[N+]([O-])=O
2.9188,-3.605,O=C(CSc1ncccc1)Nc1nc(cccc2)c2s1
3.1514,-3.948,CCCCOc(cc1)ccc1NC(CSc1nnc(C)s1)=O
3.3818,-4.542,COc(cc1)cc(OC)c1NC(CSc1nc(cccc2)c2s1)=O
2.9365,-5.284,CCOc(cc1)cc2c1nc(SCC(Nc(cc1)ccc1[N+]([O-])=O)=O)s2
4.5649,-5.874,CCOc(cc1)cc2c1nc(SCC(Nc(cc1)cc(Cl)c1F)=O)s2
3.9123,-5.044,Cc(cc1)cc2c1[nH]c(SCC(Nc(cc1)cc(Cl)c1F)=O)n2
3.5684,-4.7,O=C(CSc1nc(cccc2)c2[nH]1)Nc(cc1)cc(Cl)c1F
4.3234,-4.774,O=C(CSc1ncccc1)Nc1ccc(/C=C/c2ccccc2)cc1
2.9775,-4.626,CC(Nc(cc1)ccc1NC(CSc1nc(cccc2)c2o1)=O)=O
2.2327,-2.865,C[C@@H](CCCC1)[C@H]1NC(CSc1ncccc1)=O
2.6002,-4.966,[O-][N+](c(cccc1)c1NC(CSc1nc(cccc2)c2s1)=O)=O
3.3388,-4.498,CSc1cccc(NC(CSc2nc(cccc3)c3[nH]2)=O)c1
1.7696,-4.11,[O-][N+](c(cccc1)c1NC(CSc1nc(cccc2)c2[nH]1)=O)=O
2.4527,-2.956,CCOc(cc1)ccc1NC(CSc1ncccc1)=O
2.4527,-2.956,CCOc(cccc1)c1NC(CSc1ncccc1)=O
3.999,-5.354,CSc(cccc1)c1NC(CSc1nc(cccc2)c2s1)=O
3.751,-5.132,CSc(cc1)ccc1NC(CSc1nc(cccc2)c2o1)=O
3.3388,-4.498,CSc(cc1)ccc1NC(CSc1nc(cccc2)c2[nH]1)=O
4.7338,-5.978,O=C(CSc1nc(cc(cc2)Cl)c2s1)Nc(cc1)ccc1Cl
3.7531,-4.975,O=C(CSc1nc(cc(cc2)Cl)c2s1)Nc1nccs1
2.5941,-3.778,Cc1nnc(SCC(Nc2c(C)ccc(C)c2)=O)s1
3.0411,-4.767,Cc(cc1)cc2c1[nH]c(SCC(Nc(cccc1)c1C#N)=O)n2
2.0379,-4.766,[O-][N+](c(cc1)cc2c1[nH]c(SCC(c(cc1)ccc1F)=O)n2)=O
4.9704,-5.84,O=C(CSc1nc(cccc2)c2o1)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1
2.4948,-4.944,[O-][N+](c(cc1)cc2c1[nH]c(SCC(Nc(cccc1)c1Br)=O)n2)=O
4.4175,-5.466,Cc(cc1)cc2c1[nH]c(SCC(Nc(cc1)cc(Cl)c1Cl)=O)n2
2.5202,-4.007,Cc(cc1)cc2c1[nH]c(SCC(Nc(cccc1)c1C(O)=O)=O)n2
3.3432,-4.837,CCOc(cc1)cc2c1nc(SCC(Nc(cccc1)c1C(O)=O)=O)s2
3.7244,-5.363,O=C(COC(CSc1nc(cccc2)c2o1)=O)c(cc1)ccc1Br
1.2037,-2.727,NC(c(cccc1)c1NC(CSc1ncccc1)=O)=O
3.8581,-4.824,CCOc(cccc1)c1NC(CSc1nc(cccc2)c2s1)=O
1.4527,-2.828,O=C(CSc1nc(cccc2)c2[nH]1)NC[C@H]1OCCC1
2.3611,-4.373,NC(c(cccc1)c1NC(CSc1nc(cccc2)c2o1)=O)=O
4.1133,-5.226,Cc1nnc(SCC(Nc2ccc(/C=C/c3ccccc3)cc2)=O)s1
4.1944,-5.142,CCOc(cc1)ccc1NC(CSc1nc(ccc(OCC)c2)c2s1)=O
3.3891,-3.946,Cc(cc1)cc2c1[nH]c(SCC(OCc1ccccc1)=O)n2
1.8857,-3.479,OC(c1ccc(CNC(CSc2nc(cccc3)c3[nH]2)=O)cc1)=O
4.0036,-5.14,COc(cc1)cc2c1[nH]c(SCC(Nc(cc1)cc(Cl)c1Cl)=O)n2
2.6272,-4.441,COc(cc1)cc2c1[nH]c(SCC(Nc(cc1)ccc1C#N)=O)n2
2.7163,-4.335,OC(c1ccc(CNC(CSc2nc(cccc3)c3s2)=O)cc1)=O
3.0526,-4.653,CCOc(cc1)cc2c1nc(SCC(NCc(cc1)ccc1C(O)=O)=O)s2
2.5123,-3.826,Cc1nnc(SCC(Nc(cc2)ccc2Cl)=O)s1
2.5123,-3.826,Cc1nnc(SCC(Nc(cccc2)c2Cl)=O)s1
3.1183,-4.562,Cc1nnc(SCC(Nc(cc2)cc(Cl)c2Cl)=O)s1
0.9847,-3.55,Cc1nnc(SCC(Nc(cccc2)c2[N+]([O-])=O)=O)s1
2.4969,-4.056,CCOc(cccc1)c1NC(CSc1nnnn1-c1ccccc1)=O
2.1554,-3.358,CCOC(NC(CSc1nc(ccc(OCC)c2)c2[nH]1)=O)=O
2.7216,-3.686,COc(ccc(NC(CSc1nc(cccc2)c2[nH]1)=O)c1)c1OC
2.4423,-3.844,Cc1nnc(SCC(Nc(cc(cc2)Cl)c2OC)=O)s1
3.2688,-4.516,COc(cc1)cc2c1[nH]c(SCC(Nc(cc1)ccc1SC)=O)n2
3.8445,-4.648,CCN(CC)c(cc1)c(C)cc1NC(CSc1nc(cc(cc2)OC)c2[nH]1)=O
1.9972,-4.065,[O-][N+](c(cc1)cc2c1nc(NC(CSc1ncccc1)=O)s2)=O
1.7542,-1.815,O=C(CSc1ncccc1)N(CC1)CN1S(c1ccccc1)(=O)=O
1.5159,-4.298,Nc1nnc(SCC(Nc(cc2)ccc2C#N)=O)s1
4.654,-5.538,CCCCSc1nnc(NC(CSc2nc3ccccc3cc2)=O)s1
2.8565,-4.325,CCOc(cc1)cc([nH]2)c1nc2SCC(Nc1c(C)ccc(C(O)=O)c1)=O
4.4099,-5.44,CCOc(cc1)cc([nH]2)c1nc2SCC(Nc(cc1)cc(Cl)c1Cl)=O
2.8373,-3.802,CCOc(cc1)cc([nH]2)c1nc2SCC(NCc(cc1)ccc1OC)=O
3.9634,-6.015,N#Cc(cc1)ccc1NC(CSc1nc(cc(cc2)Cl)c2s1)=O
4.4099,-5.44,CCOc(cc1)cc([nH]2)c1nc2SCC(Nc(ccc(Cl)c1)c1Cl)=O
0.9988,-3.275,O=C(COC(CCn1nnnc1)=O)c(cc1)ccc1Br
2.6317,-1.992,CSc1nsc(SCC(N(CC2)CN2S(c2ccccc2)(=O)=O)=O)n1
0.1416,-2.008,OC(c(cc1)ccc1NC(CSc1c[nH]nn1)=O)=O
3.1028,-4.641,Cc(ccc(C(O)=O)c1)c1NC(CSc1nc(cccc2)c2o1)=O
3.3508,-4.863,Cc(ccc(C(O)=O)c1)c1NC(CSc1nc(cccc2)c2s1)=O
0.3744,-2.755,O=C(COC(CCn1nnnc1)=O)c(cc1)ccc1F
0.8796,-3.177,O=C(COC(CCn1nnnc1)=O)c(cc1)ccc1Cl
1.9556,-4.203,O=C(CSc1c[nH]nn1)Nc1nnc(SCc2ccccc2)s1
2.1222,-2.786,Cc1nonc1NC(CSc1nc(cccc2)c2[nH]1)=O
1.7455,-3.12,Cn1c(SCC(Nc2nnc(SCC=C)s2)=O)nnc1
0.7476,-2.744,OC(c(cc(cc1)NC(CSc2c[nH]nn2)=O)c1Cl)=O
3.0033,-4.417,O=C(COC(c1nc2ccccc2cc1)=O)c(cc1)ccc1F
3.4369,-4.868,O=C(COC(c(cccc1)c1C(OCC(F)(F)F)=O)=O)c(cc1)ccc1F
3.1187,-3.96,CCOc(cc1)cc2c1nc(SCC(Nc1nonc1C)=O)s2
3.7869,-4.827,CCOC(c(cc1)ccc1NC(CSc1nc(cc(cc2)Cl)c2[nH]1)=O)=O
3.5931,-4.725,CCOC(c(cc1)ccc1NC(CSc1nc(cccc2)c2o1)=O)=O
1.4589,-2.962,O=C(CSc1c[nH]nn1)Nc1nc(cccc2)c2s1
3.1334,-2.743,CSc1nsc(SCC(NCCc2ccccc2)=O)n1
3.5999,-3.551,CSc1nsc(SCC(Nc(cc2)ccc2Cl)=O)n1
4.2059,-4.287,CSc1nsc(SCC(Nc(ccc(Cl)c2)c2Cl)=O)n1
3.6817,-3.503,Cc(cc1)cc(C)c1NC(CSc1nc(SC)ns1)=O
3.7263,-3.8,COc(cc1)cc2c1nc(NC(CSc1nc(SC)ns1)=O)s2
4.1883,-4.421,CSc1nsc(SCC(Nc2cc3ccccc3cc2)=O)n1
4.1883,-4.421,CSc1nsc(SCC(Nc2cccc3ccccc23)=O)n1
1.7579,-2.714,CSc1nsc(SCC(Nc(cc2)ccc2S(N)(=O)=O)=O)n1
3.7007,-3.865,CSc1nsc(SCC(Nc(cc2)cc(Cl)c2F)=O)n1
3.1955,-3.443,CSc1nsc(SCC(Nc(cc2)cc(F)c2F)=O)n1
3.3032,-5.159,N#Cc(cc1)ccc1NC(CSc1nc(cc(cc2)Cl)c2[nH]1)=O
3.3388,-5.07,CC(c1cccc(NC(CSc2nc(cc(cc3)Cl)c3[nH]2)=O)c1)=O
2.1044,-3.646,COc(cc1)cc2c1[nH]c(SCC(Nc1ccc(CC(O)=O)cc1)=O)n2
2.5107,-3.946,CCOc(cc1)cc([nH]2)c1nc2SCC(Nc1ccc(CC(O)=O)cc1)=O
2.663,-3.567,CC(n1c(SCC(NCc(cc2)ccc2OC)=O)nc2c1cccc2)=O
2.7589,-4.297,OC(c(cc1)ccc1NC(CSc1nc(cccc2)c2o1)=O)=O
4.7014,-5.61,O=C(CCSc1nc(cccc2)c2s1)Nc(cccc1)c1Br
3.5618,-5.166,CCOc(cc1)cc2c1nc(SCC(Nc1cc(NC(C)=O)ccc1)=O)s2
2.9775,-4.626,CC(Nc1cccc(NC(CSc2nc(cccc3)c3o2)=O)c1)=O
4.1278,-5.242,O=C(CSc1nc(cc(cc2)Cl)c2s1)Nc1ccccc1
3.1583,-6.341,Nc(nc(c(C#N)c1)SCC(Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)=O)c1C#N
3.2255,-4.848,CC(Nc1cccc(NC(CSc2nc(cccc3)c3s2)=O)c1)=O
4.8245,-5.554,O=C(CCSc1nc(cccc2)c2s1)Nc1c(C(F)(F)F)cccc1
0.5898,-2.966,NC(/C(/C#N)=C/c1ccco1)=S
2.7068,-5.643,CCCCOc(cc1)ccc1NC(CSc(c(C#N)c1)nc(N)c1C#N)=O
4.5765,-5.332,O=C(CCSc1nc(cccc2)c2o1)Nc1c(C(F)(F)F)cccc1
2.823,-4.393,N#Cc1c(NC(CSc2ncccc2)=O)sc2c1CCC2
2.6091,-4.595,NC(c(cc1)ccc1NC(CSc1nc(cccc2)c2s1)=O)=O
3.7415,-4.748,Cc(cc1)cc2c1[nH]c(SCC(Nc(cc(cc1)Cl)c1OC)=O)n2
3.5421,-4.94,O=C(CSc1nc(cccc2)c2o1)c(cc1)ccc1F
3.5342,-4.286,CCOc(cc1)ccc1NC(CSc1nc(ccc(OCC)c2)c2[nH]1)=O
3.9492,-5.573,CCOc(cc1)cc2c1nc(SCC(Nc(cc1)cc(C(O)=O)c1Cl)=O)s2
3.6582,-4.572,COc(cc1)ccc1NC(CCSc1nc(cccc2)c2o1)=O
1.3329,-5.469,CC(c(cc1)ccc1NC(CSc(c(C#N)c1)nc(N)c1C#N)=O)=O
2.1495,-5.473,Cc1cc(NC(CSc(c(C#N)c2)nc(N)c2C#N)=O)c(C)cc1
3.3276,-4.422,COc(cc1)cc2c1[nH]c(SCC(Nc(cc(cc1)Cl)c1OC)=O)n2
2.5653,-3.992,CC(Nc1cccc(NC(CSc2nc(cccc3)c3[nH]2)=O)c1)=O
1.5019,-3.598,NC(/C(/C#N)=C\c(cc1)ccc1F)=S
1.8201,-2.98,CC(Nc1cccc(NC(CSc2ncccc2)=O)c1)=O
4.2425,-5.112,CCOc(cc1)cc2c1nc(SCCC(Nc(cc1)ccc1OC)=O)s2
3.0859,-4.194,Cc1nnc(SCCC(Nc(cc2)ccc2Br)=O)s1
4.7014,-5.61,O=C(CCSc1nc(cccc2)c2s1)Nc(cc1)ccc1Br
3.9762,-4.776,O=C(CCSc1nc(cccc2)c2s1)Nc1ccccc1
3.163,-3.987,O=C(CCSc1nc(cccc2)c2[nH]1)NC1CCCCC1
2.0429,-4.813,CCOC(c(cc1C#N)c(N)nc1SCC(c(cc1)ccc1OC)=O)=O
2.318,-3.266,O=C(CSc1ncccc1)Nc(cc1)cc(F)c1F
4.2096,-5.194,Cc(cc1)cc(C)c1NC(CSc1nc(cccc2)c2s1)=O
2.3607,-3.36,Cc1nnc(SCCC(Nc2ccccc2)=O)s1
3.7282,-4.554,O=C(CCSc1nc(cccc2)c2o1)Nc1ccccc1
3.209,-4.138,Cc1nnc(SCCC(Nc2cc(C(F)(F)F)ccc2)=O)s1
4.4534,-5.388,O=C(CCSc1nc(cccc2)c2o1)Nc(cc1)ccc1Br
2.9092,-4.336,CC(Nc(cc1)ccc1NC(CSc1nc(cc(C)cc2)c2[nH]1)=O)=O
2.0677,-5.521,Nc(nc(c(C#N)c1)SCC(Nc(cc2)ccc2Cl)=O)c1C#N
3.0859,-4.194,Cc1nnc(SCCC(Nc(cccc2)c2Br)=O)s1
4.4534,-5.388,O=C(CCSc1nc(cccc2)c2o1)Nc(cccc1)c1Br
2.615,-4.008,O=C(CCSc1nnnn1-c1ccccc1)Nc1ccccc1
2.5103,-6.81,Nc(nc(c(C#N)c1)SCC(Nc(sc2c3CCCC2)c3C#N)=O)c1C#N
1.1642,-4.489,Nc(nc(c(C#N)c1)SCC(Nc2cccnc2Cl)=O)c1C#N
1.8698,-3.281,CC(NC(CSc1nc(cccc2)c2s1)=O)=O
3.6029,-4.646,Cc1nnc(SCC(Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)=O)s1
3.0069,-4.519,OC(c1cccc(NC(CSc2nc(cccc3)c3s2)=O)c1)=O
2.1763,-3.663,OC(c1cccc(NC(CSc2nc(cccc3)c3[nH]2)=O)c1)=O
3.9634,-6.015,N#Cc(cccc1)c1NC(CSc1nc(cc(cc2)Cl)c2s1)=O
0.0528,-3.963,Nc(nc(c(C#N)c1)SCC(NC[C@H]2OCCC2)=O)c1C#N
3.209,-4.138,Cc1nnc(SCCC(Nc2c(C(F)(F)F)cccc2)=O)s1
4.3125,-5.094,CCOc(cc1)cc2c1nc(SCCC(Nc1ccccc1)=O)s2
4.0417,-4.776,CCOc(cc1)cc2c1nc(SCC(OCc1ccccc1)=O)s2
3.9787,-6.972,CCCC(N=C(N1)SCC(Nc(cc2)ccc2Oc(cc2)ccc2Cl)=O)=CC1=O
2.6623,-5.286,[O-][N+](c(cc1)cc2c1[nH]c(SCC(c(cc1)ccc1Br)=O)n2)=O
3.1183,-4.562,Cc1nnc(SCC(Nc(ccc(Cl)c2)c2Cl)=O)s1
4.0736,-5.122,O=C(CSc1nc(cccc2)c2[nH]1)Nc(ccc(Cl)c1)c1Cl
2.9816,-5.582,[O-][N+](c(cc1)cc2c1[nH]c(SCC(Nc(ccc(Cl)c1)c1Cl)=O)n2)=O
3.7672,-5.076,COc1ccc(CNC(CSc2nc(cc(cc3)Cl)c3s2)=O)cc1
2.5831,-4.675,CCCC(N=C(N1)SCC(Nc(cccc2)c2Cl)=O)=CC1=O
4.0036,-5.14,COc(cc1)cc2c1[nH]c(SCC(Nc(ccc(Cl)c1)c1Cl)=O)n2
4.4175,-5.466,Cc(cc1)cc2c1[nH]c(SCC(Nc(ccc(Cl)c1)c1Cl)=O)n2
1.952,-3.411,N#Cc(cc1)ccc1NC(CSc1ncccc1)=O
3.1094,-5.057,N#Cc(cccc1)c1NC(CSc1nc(cccc2)c2o1)=O
3.1094,-5.057,N#Cc(cc1)ccc1NC(CSc1nc(cccc2)c2o1)=O
1.4504,-4.25,CCOC(c(cc1C#N)c(N)nc1SCC(NC1CCCC1)=O)=O
2.1129,-4.795,CCOC(c(cc1C#N)c(N)nc1SCC(c1ccccc1)=O)=O
4.3728,-5.307,O=C(CSc1nc(cccc2)c2o1)Nc(cc1)ccc1OC(F)(F)F
3.2062,-5.702,[O-][N+](c(cc1)ccc1NC(CSc1nc(cc(cc2)Cl)c2s1)=O)=O
