cLogP,cLogS,Smiles
2.9625,-4.343,Cc1cc2cccnc2c(S(Nc2c(C)cccc2)(=O)=O)c1
3.1993,-3.138,CC(C)N(C(C)C)/N=C/c(cc1)ccc1OC
3.2761,-4.318,CC(O/N=C(/c(cc1)ccc1Cl)\c1ccncc1)=O
4.6658,-6.753,[O-][N+](c(cc1)ccc1/C(/c1cccs1)=N/OC(c(cccc1)c1Cl)=O)=O
1.9445,-3.029,CCOC(Cc1csc(NS(c2cccs2)(=O)=O)n1)=O
1.8512,-2.519,CCNS(c1cc(C)cc2cccnc12)(=O)=O
2.8921,-4.04,Cc(cc(cc1)S(N(CCC2)c3c2cccc3)(=O)=O)c1OC
5.0638,-5.832,Cc(cc1)ccc1C(O/N=C(\c(cc1)ccc1Cl)/c1ccncc1)=O
2.8699,-3.469,Cc1cc2cccnc2c(S(NCCOc2ccccc2)(=O)=O)c1
2.6176,-2.528,O=C(CCCNS(c1ccccc1)(=O)=O)N(CC1)CCN1c1ccccc1
2.863,-3.542,Cc1cc2cccnc2c(S(NCc2ccccc2)(=O)=O)c1
4.7199,-5.488,O=C(c1ccccc1)O/N=C(/c(cc1)ccc1Cl)\c1ccncc1
2.4288,-4.134,Nc1ccc(CSc(cccc2)c2C(O)=O)cc1
3.6114,-4.655,CCOC(Cc1csc(NC(c(cc(c(F)c2)F)c2Cl)=O)n1)=O
3.9086,-5.17,O=C(c1ccco1)O/N=C(/c(cc1)ccc1Cl)\c1ccncc1
4.5991,-5.569,COCc1cccc(NC(c(cccc2)c2SCc2ccccc2)=O)c1
3.3291,-3.273,S=C(Nc1ccccc1)N(CC1)CCN1c1ccccc1
3.2591,-3.291,COc(cc1)ccc1N(CC1)CCN1C(Nc1ccccc1)=S
3.6758,-5.006,CC(Nc1c(C)ccc(NC(c(cccc2)c2SC)=O)c1C)=O
2.526,-3.125,O=S(c1ccccc1)(NCCOc1cccc2cccnc12)=O
2.2297,-3.467,CC(Nc(cc1)ccc1S(NCCOc1cccc2cccnc12)(=O)=O)=O
3.9716,-4.894,CC1(C)Oc(cc(cc2)NC(c(cccc3)c3I)=O)c2O1
3.9264,-6.027,[O-][N+](c(cc1)ccc1/C(/c1cccs1)=N\OC(c1cccs1)=O)=O
1.8394,-4.642,[O-][N+](c(cc1)cc(C(N2CNc3cccc(Cl)c3)=O)c1C2=O)=O
2.3025,-5.084,Cc1cccc(NCN(C(c(cc2)c3cc2[N+]([O-])=O)=O)C3=O)c1Br
5.1724,-5.723,O=C(CCc1ccccc1)O/N=C(/c(cc1)ccc1Cl)\c1ccncc1
3.0841,-4.54,O=C1c(cc(cc2)Br)c2NC2=C1CCCC2
